scene,section,tag,all_text
22,3,Action,"Mirabel looks to the MAGIC CANDLE in Abuela’s hands. As they climb the stairs to Antonio’s glowing door, every step is a painful reminder. We intercut with the moment Mirabel’s door vanished. This is the moment everyone’s expectations of Mirabel changed... when Abuela looked at her differently... when Mirabel looked at herself differently."
22,4,Action,"But Mirabel pushes through the pain of those memories and helps Antonio reach his door, handing him off to Abuela."
22,5,ABUELA ALMA,Will you use your gift to honor our miracle? Will you serve this community and strengthen our home?
22,6,Action,"Antonio nods and Alma gestures to the door. Will it work? Mirabel sees Antonio worry for just a moment, but then... as he touches the doorknob, he is FILLED WITH MAGIC! And... a TOUCAN lands on Antonio’s arm and chirps. Like it’s SAYING something to him. Antonio smiles, delighted."
22,7,ANTONIO,"(happily surprised) Uh-huh, uh-huh, I understand you. (off the toucan’s squawked response) Of course they can come!"
22,8,Action,And then DOZENS OF ANIMALS/BIRDS flock to him... and his door FORMS INTO AN ANIMAL MENAGERIE. HE CAN COMMUNICATE WITH ANIMALS! Abuela is overjoyed and hugely relieved.
22,9,ABUELA ALMA,WE HAVE A NEW GIFT!!
22,10,Action,People cheer and fireworks go off and...
22,11,Action,INT. ANTONIO’S ROOM - CONTINUOUS
22,12,Action,"Antonio’s new, magical room opens to reveal... an enormous CHOCÓ RAINFOREST. Animals race through the crowd. We see the three kids from the opening enter."
22,13,LITTLE ALEJANDRA,It’s bigger on the inside?!
23,1,Action,"But as the kids gawk, ROOAR! A JAGUAR races past and to Antonio’s delight, the jaguar scoops him up onto his back and races through the room - every kid’s dream come true."
23,2,FÉLIX,"WEPA ANTONIO! Vaya, vaya."
23,3,Action,"As the jaguars picks up speed, it playfully roars at Antonio."
23,4,ANTONIO,You wanna go where?!
23,5,Action,"The Jaguar races UP a tree trunk, tossing Antonio in the air."
23,6,ANTONIO,Wooooaaah!
23,7,Action,"He bounces across hammocks of COATIS and skates on the surface of a RIVER, using a SNAKE as a rope, having the time of his life! Everyone watches as this introverted kid hollers with delight!"
23,8,ANTONIO,Woooo-hoooo!
23,9,Action,"The jaguar and Antonio stop near the family. Félix celebrates and the Jaguar leaps onto Agustín, nearly knocking him over. Mirabel watches, relieved for Antonio... but the moment turns as... Abuela hurries over to Antonio, proud and relieved and pulls him in for a hug, her eyes full of pride."
23,10,ABUELA ALMA,I knew you could do it... a gift just as special as you.
23,11,Action,The words pierce Mirabel’s heart... avoiding her feelings is no longer possible. She’s so alone... and unworthy... watching her family she feels she is not truly a part of.
23,12,ABUELA ALMA,"We need a picture! Everyone, come come, come, come, come! It’s a great night, it’s a perfect night. Everyone together:"
23,13,FAMILY / EVERYONE,LA FAMILIA MADRIGAL!
23,14,Action,"As everyone cheers... POOF! The brilliant light of a magnesium flash, sends us into... SUPER SLOW MOTION. As we capture the family’s celebration, we push toward Mirabel... who watches in the shadows from the side, trying to keep it together... and failing..."
24,1,MIRABEL,"(singing) DON’T BE UPSET, OR MAD AT ALL..."
24,2,Action,PARTY GOERS STREAM PAST MIRABEL IN SLOW-MO...
24,3,MIRABEL,"DON’T FEEL REGRET, OR SAD AT ALL..."
24,4,Action,THE FAMILY CIRCLES AROUND ABUELA.
24,5,MIRABEL,"HEY, I’M STILL A PART OF THE FAMILY MADRIGAL..."
24,6,Action,MIRABEL TRIES TO TAKE A STEP TOWARD THE FAMILY.
24,7,MIRABEL,"AND I’M FINE, I AM TOTALLY FINE I WILL STAND ON THE SIDE AS YOU SHINE..."
24,8,Action,"Mirabel stands... trying to be strong, singing to her family, but:"
24,9,MIRABEL,"I’M NOT FINE, I’M NOT FINE..."
24,10,Action,"As Mirabel faces her reality, she finally tells us how she really feels."
24,11,MIRABEL,(singing) I CAN’T MOVE THE MOUNTAINS I CAN’T MAKE THE FLOWERS BLOOM I CAN’T TAKE ANOTHER NIGHT UP IN MY ROOM WAITING ON A MIRACLE
24,12,MIRABEL,"I CAN’T HEAL WHAT’S BROKEN CAN’T CONTROL THE MORNING RAIN OR A HURRICANE CAN’T KEEP DOWN THE UNSPOKEN INVISIBLE PAIN ALWAYS WAITING ON A MIRACLE, A MIRACLE..."
24,13,Action,Mirabel leaves Antonio’s room and starts walking down a hallway. Everything is still in slow-mo. Mirabel walks past magic doors.
25,1,MIRABEL,ALWAYS WALKING ALONE ALWAYS WANTING FOR MORE LIKE I’M STILL AT THAT DOOR LONGING TO SHINE LIKE ALL OF YOU SHINE
25,2,Action,Mirabel sings in front of Abuela’s door. It transforms into Abuela holding the candle.
25,3,MIRABEL,ALL I NEED IS A CHANGE ALL I NEED IS A CHANCE ALL I KNOW IS I CAN’T STAY ON THE SIDE OPEN YOUR EYES OPEN YOUR EYES OPEN YOUR EYES...
25,4,Action,Recreations of her family’s gifts begin to rise.
25,5,MIRABEL,I WOULD MOVE THE MOUNTAINS MAKE NEW TREES AND FLOWERS GROW SOMEONE PLEASE JUST LET ME KNOW WHERE DO I GO? I AM WAITING ON A MIRACLE A MIRACLE
25,6,Action,Mirabel sings as a House of light forms. She opens the glowing entrance doors back to the courtyard where the family is standing excited to see her. Welcoming her.
25,7,MIRABEL,I WOULD HEAL WHAT’S BROKEN SHOW THIS FAMILY SOMETHING NEW WHO I AM INSIDE SO WHAT CAN I DO? I’M SICK OF WAITING ON A MIRACLE HERE I GO...
25,8,MIRABEL,"I AM READY! C’MON, I’M READY! I’VE BEEN PATIENT AND STEADFAST AND STEADY! BLESS ME NOW AS YOU BLESSED US ALL THOSE YEARS AGO WHEN YOU GAVE US A MIRACLE"
25,9,Action,"As this really rings out... we find Mirabel in the courtyard, looking up at the candle. Her reality returning... she knows her dream is a fantasy."
26,1,MIRABEL,Am I too late for a miracle...?
26,2,Action,"Mirabel stands in the lonely silence of the now empty courtyard, when... CLANK - a ROOF TILE FALLS into the courtyard next to her, breaking."
26,3,Action,"Curious, Mirabel picks up the broken tile from the courtyard... as she inspects it, she CUTS HER HAND on its sharp broken edge."
26,4,MIRABEL,Ow --
26,5,Action,"As she winces, she notices something on the courtyard tiles below her... a tile MALFUNCTIONING... fritzing in its place. Mirabel looks at it... confused. She reaches out her hand..."
26,6,MIRABEL,Casita...?
26,7,Action,"Mirabel reaches toward the fritzing tiles when... CRACK! A small crack on the floor tiles begins to form. What the hell? Mirabel recoils, afraid. CRACK CRACK! The crack splinters. Growing! Around Mirabel and the entire courtyard. They spread, rippling everywhere! Up the stairs!"
26,8,Action,"As the tiles keep fritzing, Mirabel races after the growing cracks... which ripple past PEDRO’S PORTRAIT to the second floor. Mirabel loses the path for a moment, but hears cracks down the hall. She looks just in time to see the cracks pass ISABELA’S DOOR, nearly extinguishing its magic."
26,9,Action,"Mirabel moves faster, following the disturbing cracks past Luisa’s door... Isabela’s door... and continue toward... ABUELA’S DOOR and... the MAGIC CANDLE!"
26,10,Action,"As the cracks swirl and multiply, the candle grows dimmer and dimmer! Mirabel watches in horror, it’s like the whole house grows dark and as the cracks expand around Mirabel, we push in on her terrified expression and -- SMASH TO:"
26,11,Action,INT. ANTONIO’S RAINFOREST ROOM - MOMENTS LATER
26,12,Action,"In Antonio’s room, the party of all time is peaking. On the dance floor, Pepa dances with Antonio and Félix, who pulls Abuela Alma up to dance and we see a glimmer of her fun side."
26,13,FÉLIX,"Come on, Abuela! Tirame un paso -- Wepa!"
26,14,Action,"But just as Abuela lets her guard down, Mirabel bursts in!"
27,1,MIRABEL,THE HOUSE IS IN DANGER! THE HOUSE IS IN DANGER!
27,2,Action,"Everyone stops and looks at her, the band stops their music. Abuela stares at Mirabel, concerned."
27,3,MIRABEL,(out of breath) The tiles were falling and there were cracks everywhere and... the candle almost went out.
27,4,Action,People in the party begin to murmur uncomfortably. Abuela clocks this and looks to Mirabel.
27,5,ABUELA ALMA,Show me.
27,6,Action,EXT. CASA MADRIGAL - COURTYARD - MOMENTS LATER
27,7,Action,"Mirabel leads the family to the candle and presents them with... nothing, no cracks, the candle shines brightly."
27,8,MIRABEL,"What? No, that’s --- the cracks were there, they were... everywhere. The house was in trouble, the, the candle was..."
27,9,Action,"Isabela looks at Mirabel and scoffs. Abuela looks at the candle, then back to Mirabel, embarrassed and disappointed."
27,10,MIRABEL,"Abuela, I promise -"
27,11,ABUELA ALMA,That’s enough.
27,12,Action,"As nervous whispers build within the crowd, Abuela gives a pointed look to Mirabel, then puts on her “face of confidence” and turns to address the crowd."
27,13,ABUELA ALMA,"There is nothing wrong with La Casa Madrigal. The magic is strong... and so are the drinks! Please -- music! A bailar, a bailar!"
27,14,Action,"Agustín, realizing how awkward this is for Mirabel, motions to Luisa, who brings him a PIANO, which he plays to smooth- over the weirdness. Isabela looks at Mirabel and scoffs."
28,1,Action,"As people head back into the party, Julieta approaches Mirabel, concerned."
28,2,Action,INT. KITCHEN - A LITTLE LATER
28,3,Action,"As sounds of the party continue, Julieta prepares an AREPA."
28,4,MIRABEL,"If it was all in my head, how did I cut my hand? I would never ruin Antonio’s night. Is that really what you think?"
28,5,JULIETA,What I think is that today was very hard for you-
28,6,MIRABEL,"That’s (not)- (then) I was looking out for the family. And I might not be super-strong like Luisa, or effortlessly perfect like “Señorita Perfecta” Isabela, who’s never even had a bad hair day. But... (SIGHS) Whatever..."
28,7,Action,"The House delivers an arepa to Julieta, who moves to Mirabel."
28,8,JULIETA,"I wish you could see yourself the way I do. You are perfect, just like this. You’re just as special as anyone else in this family."
28,9,Action,"Mirabel hears the words... but before they can land, Julieta holds Mirabel’s hand and heals her."
28,10,MIRABEL,Mm-hm. You just healed my hand with an arepa con queso.
28,11,JULIETA,"I healed your hand... (playful) ...with my love for my daughter, with her wonderful brain--"
28,12,Action,Mirabel tries to wriggles away from Julieta’s affection.
28,13,MIRABEL,Agh.
29,1,JULIETA,--big heart--
29,2,MIRABEL,Stop.
29,3,JULIETA,--cool glasses--
29,4,MIRABEL,Mamá.
29,5,Action,Julieta gives Mirabel a big embarrassing kiss on the cheek.
29,6,JULIETA,"Ay, te amo, cosa linda."
29,7,Action,"But though Julieta tries to snuggle up to Mirabel, Mirabel is not won over, and extricates herself."
29,8,MIRABEL,I know what I saw.
29,9,Action,Julieta sighs.
29,10,JULIETA,"Mira, my brother Bruno lost his way in this family... I don’t want the same for you. Get some sleep. You’ll feel better tomorrow."
29,11,Action,"Off Mirabel’s unresolved feelings, we jump to:"
29,12,Action,INT. MIRABEL’S BEDROOM - LATE NIGHT
29,13,Action,Mirabel stares at the ceiling - there’s NO WAY she’s sleeping. And there’s no way she made it all up.
29,14,Action,"- QUICK FLASH REMEMBERING THE CRACKS, THE DIMMING CANDLE."
29,15,Action,"Frustrated, Mirabel climbs out of bed, opens her door and looks up to the candle where the wall was covered in cracks."
29,16,Action,EXT. ABUELA’S WINDOW - MOMENTS LATER
29,17,Action,"Mirabel rubs her hand along the stucco wall of Abuela’s window... no cracks... but as she stares, confused... she hears a noise... it’s ABUELA. She’s upset... vulnerable. Mirabel’s never seen her like this. Abuela steps to the window and opens her chatelaine to a portrait of Pedro."
30,1,ABUELA ALMA,"Ay, Pedro... I need you. Cracks in our casita... If our family knew how vulnerable we truly are... if our miracle is dying. We cannot lose our home again."
30,2,Action,Tears are welling up in Abuela’s eyes now.
30,3,ABUELA ALMA,"Why is this happening? (then) Open my eyes. If the answer is here, help me find it. Help me protect our family. Help me save... our miracle."
30,4,Action,Abuela turns and heads back into her room.
30,5,Action,"We push in on Mirabel, if there was any doubt that she needed to act, it’s gone. The cracks were real, she’s not crazy, she needs to help Abuela, she needs to save the magic, save the family. Mirabel stares at the candle."
30,6,MIRABEL,I will save the miracle.
30,7,Action,INT. MIRABEL’S BEDROOM - NIGHT
30,8,Action,"SMASH! Mirabel busts into her room, grabs her dress, grabs her bag, puts on her shoes. Energized, she goes to her door, grabs the handle, the music builds bigger and bigger and... RECORD SCRATCH."
30,9,MIRABEL,(to the House) Wait. How do I save a miracle?
30,10,Action,"The House pantomimes back, it has no idea. Mirabel thinks for a moment."
30,11,MIRABEL,"(lightbulb) I figure out what’s happening to the miracle. (OFF THE HOUSE) Oh, I have no idea, but there is one person in this family who hears everything about everything..."
30,12,Action,"Mirabel looks at a picture of her family, and zeroes in on... DOLORES, her cousin who hears everything."
31,1,Action,EXT. OUTSIDE PATIO - MORNING
31,2,MIRABEL,"....so if anyone would know what’s wrong with the magic, it’s her."
31,3,Action,"Several AREPAS are picked up by... DOLORES, who is stacking her plate with food. She looks oddly nervous. Behind her, Mirabel enters and locks on target."
31,4,MIRABEL,"(like it’s not weird) Dolores, hey. You know, out of all my older cousins, you’re like my favorite cousin, so I feel like I can talk to you about anything, ergo you can talk to me about anything, like the problem with the magic last night that no one seemed to worry about, but maybe you heard about that maybe I should know about."
31,5,Action,"Behind them is FÉLIX, who stands with THE REAL DOLORES."
31,6,FÉLIX,Camilo! Stop pretending you’re Dolores so you can have seconds.
31,7,Action,"The “DOLORES” near Mirabel, morphs back into “Camilo.” The House takes his food back and whacks his hand."
31,8,CAMILO,Worth a shot. Ah! Ey!
31,9,Action,The REAL DOLORES whispers in Mirabel’s ear.
31,10,DOLORES,"The only one worried about the magic is you... and the rats talking in the walls...(BIZARRE, A BEAT) oh, and Luisa. I heard her eye twitching all night."
31,11,Action,"A lightbulb goes off in Mirabel’s head. She looks over at Luisa, who is carrying a table over with one hand."
31,12,LUISA,There we go.
31,13,Action,"But as Mirabel heads for Luisa, Abuela Alma enters."
32,1,ABUELA ALMA,"(agitated) Everyone to the table. Let’s go, let’s go --"
32,2,Action,Mirabel takes Pepa’s seat so that she can sit next to Luisa.
32,3,MIRABEL,Luisa--
32,4,ABUELA ALMA,"Family, we are all thankful for Antonio’s wonderful new... gift..."
32,5,Action,"Abuela goes to her chair, but finds COATIS in it."
32,6,ANTONIO,I told ‘em to warm up your seat.
32,7,Action,"Antonio smiles to Abuela, who manages a smile back."
32,8,ABUELA ALMA,"Thank you, Toñito. I’m sure today we’ll find a way to put your blessings to good use.... (trailing off, O.S.) ...as must we all, we are the caretakers of this Encanto..."
32,9,Action,"As Abuela continues, Mirabel leans over to Luisa."
32,10,MIRABEL,"Luisa, Dolores says you’re totally freaking out, any chance you maybe know something about last night, with the magic - (off Luisa) You do!"
32,11,Action,"Mirabel pounds the table, excited."
32,12,ABUELA ALMA,Mirabel.
32,13,Action,"Mirabel looks up, busted by Abuela, for talking while Abuela was giving a speech."
32,14,ABUELA ALMA,If you can’t pay attention I will help you.
32,15,MIRABEL,"Actually, I--"
33,1,ABUELA ALMA,Casita?
33,2,Action,"The House MOVES Mirabel next to Abuela, away from Luisa."
33,3,ABUELA ALMA,"As I was saying, we must never take our miracle for granted, so today, we will work twice as hard."
33,4,MIRABEL,"(trying to go to Luisa) Mhmm, I will help Luisa --"
33,5,Action,"Mirabel stands to go back to Luisa, but Abuela continues."
33,6,ABUELA ALMA,"Stop. First, an announcement. I’ve spoken to the Guzmans about Mariano’s proposal to Isabela. Dolores, do we have a date?"
33,7,DOLORES,(listens “to town”) Tonight. (LISTENS) He wants five babies.
33,8,Action,Isabela nervously sprouts some flowers.
33,9,ABUELA ALMA,"Wonderful, such a fine young man with our perfect Isabela (PLUCKS OUT WRONG FLOWERS) will bring a new generation of magical blessings and make both of our families stronger."
33,10,Action,"Camilo morphs into a snarky version of MARIANO, Isabela swats him with flowers to get him to stop."
33,11,CAMILO,(as Mariano) Mmmm. (Makes kissy sounds) Ay!
33,12,ABUELA ALMA,"Okay, our community is counting on us, La familia Madrigal!"
33,13,MIRABEL/ FAMILY,-- La Familia Madrigal!
33,14,MIRABEL,Luisa hey --
34,1,Action,"As everyone gets up, Mirabel sees Luisa is gone. Mirabel heads after Luisa and -- SMACKS into Isabela, sending petals everywhere."
34,2,ISABELA,(calling after) What is your problem?!
34,3,MIRABEL,"(calling back) Ugh, sorry - (O.S. impact) - Hey Luisa! Hold up!"
34,4,Action,EXT. ENCANTO - TOWN - A LITTLE LATER
34,5,Action,We find Luisa MOVING A CHURCH. The Priest “blesses her.”
34,6,SRA. OSMA,"Luisa, can you re-route the river?"
34,7,LUISA,Will do!
34,8,SR. RENDON,"Luisa, the donkeys got out again."
34,9,LUISA,On it.
34,10,Action,"As Luisa picks up a COUPLE OF DONKEYS, Mirabel awkwardly climbs over the stone wall behind her."
34,11,MIRABEL,"(calling after) Luisa, wait a second --"
34,12,Action,"Luisa looks back, sees Mirabel, moves faster."
34,13,MIRABEL,You gotta tell me about the magic. What’s going on? What are you hiding?
34,14,LUISA,"Nothing, just gotta lotta chores, so maybe you should just go home."
34,15,SR. FLORES,"Luisa, my house is leaning to the-- oh!"
34,16,Action,Luisa knocks a crooked house straight and keeps walking.
35,1,MIRABEL,"Dolores said your eye was twitching and it never twitches, something’s making you nervous --"
35,2,LUISA,"Hey move, you’re gonna make me drop a donkey."
35,3,MIRABEL,Luisa?! Will you just-- Just tell me what it is!
35,4,LUISA,There’s nothing to tell --
35,5,MIRABEL,"You’re obviously worried about something! Luisa, if you know what’s hurting the magic and it gets worse ‘cause you won’t tell me what’s wrong --!"
35,6,LUISA,NOTHING’S WRONG!
35,7,Action,"The DONKEYS are like, “YIKES.” Mirabel’s like “whoa.” Luisa realizes, tries to play it off."
35,8,LUISA,"Wow, uh, sorry, that, uh, that snuck out there... what I meant was... “why would anything be wrong?” I’m totally fine. The magic’s fine. Luisa’s fine. I’m totally not nervous."
35,9,Action,"As Luisa smiles, trying to be casual, her eye twitches."
35,10,MIRABEL,Your eye is... doing the thing...
35,11,Action,"Unwilling to admit there’s a problem, Luisa gets in Mirabel’s face."
35,12,LUISA,"(singing) I’M THE STRONG ONE, I’M NOT NERVOUS, I’M AS TOUGH AS THE CRUST OF THE EARTH IS"
35,13,Action,"Luisa smashes a boulder to underscore her toughness. A beat. Mirabel stares at Luisa, what the hell is happening?"
36,1,MIRABEL,Okay...
36,2,LUISA,"I MOVE MOUNTAINS, I MOVE CHURCHES, AND I GLOW, CUZ I KNOW WHAT MY WORTH IS"
36,3,Action,Another little beat. The donkeys behind Mirabel back up.
36,4,MIRABEL,"Course I mean -- (TO DONKEYS) hey, where are you going?"
36,5,Action,"Luisa approaches Mirabel, intense."
36,6,LUISA,"I DON’T ASK HOW, HARD THE WORK IS, GOT A ROUGH, INDESTRUCTIBLE SURFACE. (gaining momentum!) DIAMONDS & PLATINUM, I FIND ‘EM, I FLATTEN ‘EM, I TAKE WHAT I’M HANDED, I BREAK WHAT’S DEMANDED, BUT..."
36,7,Action,"Luisa rips up the ground, sending them both into a fantasy song space where Luisa’s insecurities are on full display."
36,8,LUISA,"UNDER THE SURFACE I FEEL BERSERK AS A TIGHTROPE WALKER IN A THREE RING CIRCUS UNDER THE SURFACE WAS HERCULES EVER LIKE “YO, I DON’T WANNA FIGHT CERBERUS?”"
36,9,Action,"Mirabel suddenly finds herself battling Cerberus, only to be saved by Luisa."
36,10,LUISA,UNDER THE SURFACE I’M PRETTY SURE I’M WORTHLESS IF I CAN’T BE OF SERVICE A FLAW OR A CRACK THE STRAW IN THE STACK THAT BREAKS THE CAMEL’S BACK WHAT BREAKS THE CAMEL’S BACK? IT’S...
36,11,Action,"We’re suddenly on a stage, where Luisa shows her vulnerable side as... donkeys cascade all around them."
37,1,LUISA,"PRESSURE LIKE A DRIP DRIP DRIP THAT’LL NEVER STOP, WHOA... PRESSURE THAT’LL TIP TIP TIP TIL YOU JUST GO POP, WHOA..."
37,2,LUISA,"GIVE IT TO YOUR SISTER, YOUR SISTER’S OLDER GIVE HER ALL THE HEAVY THINGS WE CAN’T SHOULDER WHO AM I IF I CAN’T RUN WITH THE BALL IF I FALL TO"
37,3,Action,Suddenly they fall into a GIANT COFFEE BEAN PRESS.
37,4,LUISA,"PRESSURE LIKE A GRIP GRIP GRIP AND IT WON’T LET GO, WHOA... PRESSURE LIKE A TICK TICK TICK TIL IT’S READY TO BLOW, WHOA..."
37,5,Action,"Luisa helps Mirabel escape the coffee bean press, only to find themselves in a field of geysers."
37,6,LUISA,"GIVE IT TO YOUR SISTER, YOUR SISTER’S STRONGER SEE IF SHE CAN HANG ON A LITTLE LONGER WHO AM I IF I CAN’T CARRY IT ALL, IF I FALTER"
37,7,Action,Another jump on they are hanging off of a cliff.
37,8,LUISA,"UNDER THE SURFACE I HIDE MY NERVES, AND IT WORSENS, I WORRY SOMETHING IS GONNA HURT US UNDER THE SURFACE THE SHIP DOESN’T SWERVE. HAS IT HEARD HOW BIG THE ICEBERG IS?"
37,9,Action,"The mountains part, and we are suddenly on the deck of the Titanic as an iceberg looms."
37,10,LUISA,UNDER THE SURFACE I THINK ABOUT MY PURPOSE. CAN I SOMEHOW PRESERVE THIS? LINE UP THE DOMINOES A LIGHT WIND BLOWS (MORE)
38,1,LUISA,YOU TRY TO STOP IT TOPPLIN’ BUT ON AND ON IT GOES
38,2,Action,"Luisa and Mirabel are sucked up into a tornado, sending them into a beautiful sky, with pink clouds and not a care in the world. As Mirabel listens, she gains a whole new appreciation of what Luisa has been feeling all of these years."
38,3,LUISA,"BUT WAIT, IF I COULD SHAKE THE CRUSHING WEIGHT OF EXPECTATION WOULD THAT FREE SOME ROOM UP FOR, JOY? OR RELAXATION OR SIMPLE PLEASURE INSTEAD WE MEASURE... THIS GROWING PRESSURE KEEPS GROWING, KEEP GOING CUZ ALL WE KNOW IS..."
38,4,Action,"Just as Luisa lets herself relax, giant boulders fall from the sky and Luisa catches them before they crush Mirabel."
38,5,LUISA,"PRESSURE LIKE A DRIP DRIP DRIP THAT’LL NEVER STOP, WHOA PRESSURE THAT’LL TIP TIP TIP TIL YOU JUST GO POP, WHOA"
38,6,LUISA,"GIVE IT TO YOUR SISTER, IT DOESN’T HURT AND SEE IF SHE CAN HANDLE EVERY FAMILY BURDEN WATCH AS SHE BUCKLES AND BENDS BUT NEVER BREAKS"
38,7,Action,"THE ENTIRE MADRIGAL HOUSE LANDS ON LUISA, CRUSHING HER. Mirabel can’t believe it, but... suddenly Luisa lifts the house up from below. She’s not giving in!"
38,8,LUISA,"NO MISTAKES! JUST PRESSURE LIKE A GRIP GRIP GRIP AND IT WON’T LET GO, WHOA PRESSURE LIKE A TICK TICK TICK TIL IT’S READY TO BLOW, WHOA"
38,9,LUISA,"GIVE IT TO YOUR SISTER, AND NEVER WONDER IF THE SAME PRESSURE WOULD’VE PULLED YOU UNDER (MORE)"
39,1,LUISA,"WHO AM I IF I DON’T HAVE WHAT IT TAKES (THEN) NO CRACKS, NO BREAKS! NO MISTAKES! NO PRESSURE!"
39,2,Action,"BOOM! The song ends. Mirabel looks at Luisa, stunned. Luisa stares back like a dancer who just finished an insane routine and still breathing heavy."
39,3,Action,BACK TO REALITY:
39,4,Action,They stand in a weird silence. And instead of saying anything... Mirabel simply... HUGS LUISA.
39,5,MIRABEL,I think you’re carrying way too (GETS SQUEEZED) much.
39,6,Action,"Emotional, Luisa picks Mirabel up and hugs her too hard."
39,7,LUISA,Maybe I over do it.
39,8,MIRABEL,(getting squeezed) Yup.
39,9,LUISA,"Um, there is something you should know: last night, when you saw the cracks, I felt... weak."
39,10,Action,Luisa finally lets Mirabel breathe.
39,11,MIRABEL,"Wha- What, what, what?!"
39,12,SR. RENDON,"Luisa, the donkeys!"
39,13,LUISA,On it!
39,14,MIRABEL,"Wait, wait, wait - what do you mean? What do you think’s hurting the magic?"
39,15,Action,"Luisa picks up a donkey, she has to hurry, she pulls Mirabel close to tell her a secret."
40,1,LUISA,"Don’t know. But I heard the grown ups once: before Tio Bruno left, he had like some terrible vision about it."
40,2,MIRABEL,Tio Bruno? What was in his vision?
40,3,LUISA,"No one knows, they never found it. But if something’s wrong with the magic, start with Bruno’s tower, find that vision."
40,4,Action,"Luisa heads off, carrying more donkeys."
40,5,MIRABEL,"(calling after) Wait, how do you “find” a vision?! What am I even looking for?"
40,6,LUISA,"If you find it, you’ll know. But be careful... that place is off limits for a reason."
40,7,Action,Mirabel turns back to the House... to Bruno’s tower.
40,8,Action,INT. CASA MADRIGAL - COURTYARD - A LITTLE LATER
40,9,Action,"On her way to Bruno’s door, she sneaks past Isabela and Abuela Alma."
40,10,ABUELA ALMA,Such a perfect match.
40,11,ISABELA,So perfect.
40,12,ABUELA ALMA,And so good for the Encanto.
40,13,Action,Mirabel sneaks past the two and reaches Bruno’s door. No one’s been in there for years.
40,14,Action,INT. BRUNO’S TOWER - MOMENTS LATER
40,15,Action,"Mirabel shoves open Bruno’s door, revealing a dusty, dark ante room. In front of her, sand spills in from above, creating a curtain of sand, beyond which she can’t see."
41,1,MIRABEL,"Casita, can you turn off the sand?"
41,2,Action,Nothing happens. Mirabel looks back where she can see the floor tiles at the doorjamb say “the house cannot help beyond this point.” The gravity of this hits Mirabel.
41,3,MIRABEL,You can’t help in here?
41,4,Action,"The House responds “no... and I’m worried about you,” after all, Mirabel has never been “without the House.”"
41,5,MIRABEL,"I’ll be fine. I need to do this, for you, for Abuela... maybe a little for me. (looks to sand) Find the vision, save the mir-ack!"
41,6,Action,As Mirabel steps through the “sandfall” she...falls!
41,7,Action,INT. BRUNO’S TOWER - CONTINUOUS
41,8,Action,Mirabel falls face first and slides down a giant sand dune. She looks up to see... she’s in towering room.
41,9,MIRABEL,Whoa...
41,10,Action,"Widen to reveal a SIGN reading “Your Future Awaits,” which points to the TOP of the cavern. HUNDREDS OF STAIRS lead all the way up. As Mirabel looks up - FLIT-FLIT-FLIT... Antonio’s TOUCAN flaps down next to her. It smiles and squawks “hello.”"
41,11,MIRABEL,"Oh, hello. (THEN) Lotta stairs, but at least I’ll have a friend-- (the toucan flies away) no, you flew away immediately."
41,12,Action,Mirabel watches it fly to the top. She’s on her own. Mirabel grits her teeth and starts climbing.
41,13,MIRABEL,Alright.
41,14,Action,"As she goes, we pop forward in time, and with each little pop, she gets more tired and is soon wheezing and struggling."
41,15,MIRABEL,(talk-singing) Welcome to the Family Madrigal... (MORE)
42,1,MIRABEL,"(NEXT POP)...there’s so many stairs in the Casa Madrigal... (NEXT POP) you would think there’d be another way to get so high cause we’re magic, but no -- magical, how many stairs fit in here! Bruno, your room is the worst!!"
42,2,Action,"Later, Mirabel finally gets to the top of the stairs, only to find there is a gap in the path. She groans, exhausted."
42,3,MIRABEL,Come on...
42,4,Action,As Mirabel takes a breath... then removes a rope railing on and throws it over a boulder above as an anchor.
42,5,MIRABEL,"Okay, I can do this. (looking at the gap) Ooo..."
42,6,Action,"Mirabel goes to swing across, slips, loses her balance, but... somehow makes it across. Stunned she succeeded, Mirabel pumps her fists --"
42,7,MIRABEL,Wooooo!
42,8,Action,"But as Mirabel stomps her foot to celebrate, the ledge below her cracks and plummets to the ground, nearly taking her with it. She looks to the toucan, who looks at her, judgmental. Deciding celebration time is over, Mirabel turns to the entrance of Bruno’s “temple.”"
42,9,Action,INT. BRUNO’S TEMPLE - MOMENTS LATER
42,10,Action,"The corridors feel like a forgotten tomb. The TOUCAN trails her, nervous. Mirabel looks around, focussing on a triptych of images depicting how Bruno’s visions come to pass. As Mirabel investigates it - SCREEE!!! She accidentally knocks a POT full of... RATS. They startle Mirabel and scurry into a RELIEF SCULPTURE OF BRUNO. On closer inspection... Bruno’s eyes have been scratched out. Disturbing."
42,11,Action,"Mirabel hears a creak, which draws her eyes to... Bruno’s “INNER SANCTUM.” It sure looks like the epicenter. The TOUCAN looks at Mirabel... turns around and flies away."
42,12,MIRABEL,Quitter.
43,1,Action,INT. BRUNO’S INNER SANCTUM - MOMENTS LATER
43,2,Action,"Mirabel enters the dark room... there’s an unusual circle of SAND in the middle, but there is no sign of anything else. It’s a dead end. Confused... she steps out onto the SAND..."
43,3,MIRABEL,Empty....
